-Total- ATOMI: 1702 SCORIE: 1588 SCISSIONI: 1695 ENERGIA PRODOTTA:8548863 ENERGIA CONSUMATA: 8550000 ENERGIA ASSORBITA: 8444521

pid: 5140, parent pid: 5027, scoria: 1, inibito: 0
pid: 5142, parent pid: 5048, scoria: 1, inibito: 0
pid: 5141, parent pid: 5073, scoria: 1, inibito: 0
pid: 5143, parent pid: 4961, scoria: 1, inibito: 0
pid: 5144, parent pid: 4939, scoria: 1, inibito: 0
pid: 5145, parent pid: 4823, scoria: 1, inibito: 0
pid: 5147, parent pid: 4892, scoria: 1, inibito: 0
pid: 5146, parent pid: 4889, scoria: 1, inibito: 0
pid: 5148, parent pid: 5064, scoria: 1, inibito: 0
pid: 5149, parent pid: 5007, scoria: 1, inibito: 0
pid: 5150, parent pid: 4836, scoria: 1, inibito: 0
pid: 5151, parent pid: 4829, scoria: 1, inibito: 0
pid: 5153, parent pid: 5034, scoria: 1, inibito: 0
pid: 5152, parent pid: 5088, scoria: 1, inibito: 0
pid: 5156, parent pid: 5092, scoria: 1, inibito: 0
pid: 5155, parent pid: 4980, scoria: 1, inibito: 0
pid: 5154, parent pid: 4838, scoria: 1, inibito: 0
pid: 5157, parent pid: 4983, scoria: 1, inibito: 0
pid: 5158, parent pid: 4981, scoria: 1, inibito: 0
pid: 5159, parent pid: 5051, scoria: 1, inibito: 0
pid: 5160, parent pid: 4954, scoria: 1, inibito: 0
pid: 5161, parent pid: 4927, scoria: 1, inibito: 0
pid: 5162, parent pid: 4996, scoria: 1, inibito: 0
pid: 5163, parent pid: 5023, scoria: 1, inibito: 0
pid: 5165, parent pid: 4812, scoria: 1, inibito: 0
pid: 5164, parent pid: 4906, scoria: 1, inibito: 0
pid: 5166, parent pid: 4841, scoria: 1, inibito: 0
pid: 5167, parent pid: 4914, scoria: 1, inibito: 0
pid: 5168, parent pid: 4847, scoria: 1, inibito: 0
pid: 5169, parent pid: 5040, scoria: 1, inibito: 0
pid: 5170, parent pid: 4961, scoria: 1, inibito: 0
pid: 5172, parent pid: 5034, scoria: 1, inibito: 0
pid: 5171, parent pid: 4939, scoria: 0, inibito: 0
pid: 5175, parent pid: 5133, scoria: 1, inibito: 0
pid: 5173, parent pid: 4845, scoria: 1, inibito: 0
pid: 5174, parent pid: 5151, scoria: 1, inibito: 0
pid: 5176, parent pid: 4905, scoria: 1, inibito: 0
pid: 5179, parent pid: 4994, scoria: 1, inibito: 0
pid: 5177, parent pid: 5104, scoria: 1, inibito: 0
pid: 5178, parent pid: 5097, scoria: 1, inibito: 0
pid: 5180, parent pid: 5089, scoria: 1, inibito: 0
pid: 5181, parent pid: 5169, scoria: 1, inibito: 0
pid: 5183, parent pid: 4945, scoria: 1, inibito: 0
pid: 5182, parent pid: 5138, scoria: 1, inibito: 0
pid: 5184, parent pid: 5008, scoria: 1, inibito: 0
pid: 5185, parent pid: 5108, scoria: 1, inibito: 0
pid: 5186, parent pid: 5014, scoria: 1, inibito: 0
pid: 5187, parent pid: 5085, scoria: 1, inibito: 0
pid: 5189, parent pid: 5079, scoria: 1, inibito: 0
pid: 5188, parent pid: 4896, scoria: 1, inibito: 0
pid: 5190, parent pid: 5063, scoria: 1, inibito: 0
pid: 5191, parent pid: 5016, scoria: 1, inibito: 0
pid: 5192, parent pid: 5154, scoria: 1, inibito: 0
pid: 5193, parent pid: 5190, scoria: 1, inibito: 0
pid: 5194, parent pid: 5034, scoria: 1, inibito: 0
pid: 5196, parent pid: 5108, scoria: 1, inibito: 0
pid: 5195, parent pid: 5065, scoria: 1, inibito: 0
pid: 5197, parent pid: 5126, scoria: 1, inibito: 0
pid: 5198, parent pid: 5112, scoria: 1, inibito: 0
pid: 5199, parent pid: 4871, scoria: 1, inibito: 0
pid: 5200, parent pid: 4917, scoria: 1, inibito: 0
pid: 5201, parent pid: 4957, scoria: 1, inibito: 0
pid: 5202, parent pid: 5065, scoria: 1, inibito: 0
pid: 5204, parent pid: 5184, scoria: 1, inibito: 0
